onset	duration	RT_response	RT_visibility	correct	correctAns	labels	options	paths	probe_frame	response	subcategory	targets	time_coor	trials	visibility	volume_interest
0.0	0.85	0.0	0.0	0.0	0.0	n/a	n/a	n/a	0.0	0.0	n/a	n/a	0.0	0.0	n/a	0
0.85	0.85	0.0	0.0	0.0	0.0	n/a	n/a	n/a	0.0	0.0	n/a	n/a	0.85	0.0	n/a	0
1.7	0.85	0.4003033936023712	0.230326846241951	0.0	2.0	elephant	'nV_V'	elephant_14.jpg	3.0	1.0	Animals	Living_Things	1.7	1.0	glimpse	0
2.55	0.85	0.4003033936023712	0.230326846241951	0.0	2.0	elephant	'nV_V'	elephant_14.jpg	3.0	1.0	Animals	Living_Things	2.55	1.0	glimpse	0
3.4	0.85	0.4003033936023712	0.230326846241951	0.0	2.0	elephant	'nV_V'	elephant_14.jpg	3.0	1.0	Animals	Living_Things	3.4	1.0	glimpse	0
4.25	0.85	0.4003033936023712	0.230326846241951	0.0	2.0	elephant	'nV_V'	elephant_14.jpg	3.0	1.0	Animals	Living_Things	4.25	1.0	glimpse	0
5.1	0.85	0.4003033936023712	0.230326846241951	0.0	2.0	elephant	'nV_V'	elephant_14.jpg	3.0	1.0	Animals	Living_Things	5.1	1.0	glimpse	0
5.95	0.85	0.4003033936023712	0.230326846241951	0.0	2.0	elephant	'nV_V'	elephant_14.jpg	3.0	1.0	Animals	Living_Things	5.95	1.0	glimpse	0
6.8	0.85	0.4003033936023712	0.230326846241951	0.0	2.0	elephant	'nV_V'	elephant_14.jpg	3.0	1.0	Animals	Living_Things	6.8	1.0	glimpse	0
7.649999999999999	0.85	0.4003033936023712	0.230326846241951	0.0	2.0	elephant	'nV_V'	elephant_14.jpg	3.0	1.0	Animals	Living_Things	7.649999999999999	1.0	glimpse	1
8.5	0.85	0.4003033936023712	0.230326846241951	0.0	2.0	elephant	'nV_V'	elephant_14.jpg	3.0	1.0	Animals	Living_Things	8.5	1.0	glimpse	1
9.35	0.85	0.4003033936023712	0.230326846241951	0.0	2.0	elephant	'nV_V'	elephant_14.jpg	3.0	1.0	Animals	Living_Things	9.35	1.0	glimpse	1
10.2	0.85	0.4003033936023712	0.230326846241951	0.0	2.0	elephant	'nV_V'	elephant_14.jpg	3.0	1.0	Animals	Living_Things	10.2	1.0	glimpse	0
11.05	0.85	0.4003033936023712	0.230326846241951	0.0	2.0	elephant	'nV_V'	elephant_14.jpg	3.0	1.0	Animals	Living_Things	11.05	1.0	glimpse	0
11.9	0.85	0.4003033936023712	0.230326846241951	0.0	2.0	elephant	'nV_V'	elephant_14.jpg	3.0	1.0	Animals	Living_Things	11.9	1.0	glimpse	0
12.75	0.85	0.4003033936023712	0.230326846241951	0.0	2.0	elephant	'nV_V'	elephant_14.jpg	3.0	1.0	Animals	Living_Things	12.75	1.0	glimpse	0
13.6	0.85	0.4003033936023712	0.230326846241951	0.0	2.0	elephant	'nV_V'	elephant_14.jpg	3.0	1.0	Animals	Living_Things	13.6	1.0	glimpse	0
14.45	0.85	0.5903506278991699	0.2103273868560791	0.0	1.0	tapir	'V_nV'	tapir_8.jpg	2.0	2.0	Animals	Living_Things	14.45	2.0	unconscious	0
15.3	0.85	0.5903506278991699	0.2103273868560791	0.0	1.0	tapir	'V_nV'	tapir_8.jpg	2.0	2.0	Animals	Living_Things	15.3	2.0	unconscious	0
16.15	0.85	0.5903506278991699	0.2103273868560791	0.0	1.0	tapir	'V_nV'	tapir_8.jpg	2.0	2.0	Animals	Living_Things	16.15	2.0	unconscious	0
17.0	0.85	0.5903506278991699	0.2103273868560791	0.0	1.0	tapir	'V_nV'	tapir_8.jpg	2.0	2.0	Animals	Living_Things	17.0	2.0	unconscious	0
17.849999999999998	0.85	0.5903506278991699	0.2103273868560791	0.0	1.0	tapir	'V_nV'	tapir_8.jpg	2.0	2.0	Animals	Living_Things	17.849999999999998	2.0	unconscious	0
18.7	0.85	0.5903506278991699	0.2103273868560791	0.0	1.0	tapir	'V_nV'	tapir_8.jpg	2.0	2.0	Animals	Living_Things	18.7	2.0	unconscious	0
19.55	0.85	0.5903506278991699	0.2103273868560791	0.0	1.0	tapir	'V_nV'	tapir_8.jpg	2.0	2.0	Animals	Living_Things	19.55	2.0	unconscious	0
