sub	visibility	fpr	tpr	dprime	pval	chance	N	probe_mean	probe_std	total	proportion	p_corrected	Behavioral	awareness	meta dprime	overall dprime	m_ratio	m_diff	age	gender	participant_id
sub-01	1	0.506298882662351	0.514492605709316	0.020589512371497	0.437056294370563	0.001719584144521	782	18.772378516624	10.5610806149003	1755	0.445584045584046	1.0	At Chance	Unconscious	2.52977522656715	1.3020727451937	1.94288317292965	1.22770248137345	31	male	sub-01
sub-01	2	0.129713440326596	0.868126538554812	2.25798765156168	9.99900009999e-05	0.000251189615099	459	29.9564270152505	11.1631912004786	1755	0.261538461538462	0.000299970003	Above Chance	Glimpse	2.52977522656715	1.3020727451937	1.94288317292965	1.22770248137345	31	male	sub-01
sub-01	3	0.0	0.987378429373501	9.29977823462773	9.99900009999e-05	-0.00264481961979	514	41.3035019455253	13.5395841121849	1755	0.292877492877493	0.000299970003	Above Chance	Conscious	2.52977522656715	1.3020727451937	1.94288317292965	1.22770248137345	31	male	sub-01
sub-02	1	0.39234122883057	0.492219879691121	0.254314945911912	0.027597240275972	-0.000334615532866	710	19.7971602434077	11.9311510409069	1677	0.423375074537865	0.082791720827917	Above Chance	Unconscious	1.63909468313811	1.20514763199385	1.36007791877442	0.433947051144263	26	male	sub-02
sub-02	2	0.192232223326064	0.735941054573152	1.50700111251761	9.99900009999e-05	-0.001255472237843	473	31.4285714285714	13.5023303607217	1677	0.282051282051282	0.000299970003	Above Chance	Glimpse	1.63909468313811	1.20514763199385	1.36007791877442	0.433947051144263	26	male	sub-02
sub-02	3	0.091581812996955	0.962199068924552	3.13709547463664	9.99900009999e-05	0.002590374505564	494	40.2222222222222	17.0279363777279	1677	0.294573643410853	0.000299970003	Above Chance	Conscious	1.63909468313811	1.20514763199385	1.36007791877442	0.433947051144263	26	male	sub-02
sub-03	1	0.437850344624813	0.480978898365211	0.109048730381247	0.234076592340766	-0.001229976394505	568	16.4788732394366	9.11176171480093	1622	0.350184956843403	0.702229777022298	At Chance	Unconscious	1.53770134666593	1.01798953839093	1.51052765148891	0.519711808274999	30	male	sub-03
sub-03	2	0.289007449495479	0.711530102053761	1.11681800174191	9.99900009999e-05	-0.00140281798252	735	24.2176870748299	13.4176840397482	1622	0.453144266337854	0.000299970003	Above Chance	Glimpse	1.53770134666593	1.01798953839093	1.51052765148891	0.519711808274999	30	male	sub-03
sub-03	3	0.035696283898467	0.973282302769011	3.81847383505179	9.99900009999e-05	0.002593621230589	319	36.7398119122257	13.6238547462325	1622	0.196670776818742	0.000299970003	Above Chance	Conscious	1.53770134666593	1.01798953839093	1.51052765148891	0.519711808274999	30	male	sub-03
sub-04	1	0.494962311007832	0.544519120651164	0.124703266497624	0.167483251674833	3.48266656357658e-05	753	34.7277556440903	18.9136989466543	1699	0.443201883460859	0.502449755024498	At Chance	Unconscious	1.85076881798285	1.14068565455957	1.62250556109381	0.710083163423272	28	male	sub-04
sub-04	2	0.192672219593658	0.770507866636397	1.61474025750382	9.99900009999e-05	-0.00207578085046	531	50.7909604519774	18.5169437657019	1699	0.312536786344909	0.000299970003	Above Chance	Glimpse	1.85076881798285	1.14068565455957	1.62250556109381	0.710083163423272	28	male	sub-04
sub-04	3	0.038336161998593	0.975820309615466	3.8059780903923	9.99900009999e-05	-0.002672414128283	415	58.9156626506024	20.792262705543	1699	0.244261330194232	0.000299970003	Above Chance	Conscious	1.85076881798285	1.14068565455957	1.62250556109381	0.710083163423272	28	male	sub-04
